t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
586.0,1880120.6853754392,3260527.6418056446,5218107.2388020335,-525.367935608374,-3060.255586208077,1984.8915187134407
587.0,1879593.789153346,3257465.1034416417,5220088.408985433,-528.4236167643685,-3064.818899866659,1977.4477410167456
588.0,1879063.8381419105,3254398.0040059113,5222062.134284067,-531.4774582126411,-3069.377694114344,1970.0017792028375
589.0,1878530.8342369208,3251326.348053413,5224028.412543839,-534.5293450615136,-3073.931896221591,1962.5536953494884
590.0,1877994.7794517875,3248250.140213468,5225987.241674766,-537.5791566855041,-3078.481430019019,1955.1035558036529
591.0,1877455.6759235498,3245169.385193375,5227938.619655446,-540.6267661638558,-3083.0262155411765,1947.6514315772802
592.0,1876913.5259194598,3242084.0877823858,5229882.5445379205,-543.6720396777382,-3087.5661686484236,1940.197398767341
593.0,1876368.3318441943,3238994.252856078,5231819.014452981,-546.714835862047,-3092.101200622972,1932.741539013572
594.0,1875820.0962477357,3235899.88538114,5233748.027615948,-549.7550051079597,-3096.6312177316286,1925.283939994406
595.0,1875268.8218339784,3232800.990420615,5235669.58233297,-552.7923888075165,-3101.1561207601335,1917.8246959648095
596.0,1874714.5114701206,3229697.5731396195,5237583.677007877,-555.8268185415072,-3105.6758045125753,1910.3639083397575
597.0,1874157.1681968954,3226589.6388115897,5239490.310149649,-558.8581151954131,-3110.1901572663337,1902.901686328929
598.0,1873596.7952397298,3223477.192825087,5241389.480380535,-561.8860880024731,-3114.6990601883736,1895.4381476291455
599.0,1873033.3960208904,3220360.240691213,5243281.186444907,-564.910533506074,-3119.2023867012467,1887.9734191750176
600.0,1872466.9741727177,3217238.7880516844,5245165.427218885,-567.9312344305217,-3123.7000017950777,1880.507637964096
601.0,1871897.5335520294,3214112.840687623,5247042.201720836,-570.9479584501823,-3128.1917612822726,1873.0409519518726
602.0,1871325.0782558173,3210982.40452912,5248911.509122789,-573.9604568496579,-3132.6775109891314,1865.5735210310668
603.0,1870749.61263833,3207847.4856656445,5250773.348762898,-576.9684630647535,-3137.157085872721,1858.1055181077681
604.0,1870171.1413296878,3204708.0903573744,5252627.720159004,-579.9716910853749,-3141.6303090625443,1850.637130272109
605.0,1869589.6692561593,3201564.2250475194,5254474.623023442,-582.969833711395,-3146.0969908141997,1843.1685600867495
606.0,1869005.201662265,3198415.896375746,5256314.057279178,-585.9625606467016,-3150.5569273668807,1835.700026994571
607.0,1868417.744134866,3195263.1111927857,5258146.023077431,-588.9495164116379,-3155.0098997000605,1828.2317688665353
608.0,1867827.3026294417,3192105.876576346,5259970.520816911,-591.930318052764,-3159.455672165146,1820.7640437036753
609.0,1867233.8834987604,3188944.1998484554,5261787.5511648385,-594.904552637483,-3163.8939909995534,1813.2971314992756
610.0,1866637.4935241668,3185778.088594347,5263597.11507991,-597.8717744993046,-3168.324582691537,1805.8313362938352
611.0,1866038.1399497618,3182607.5506830723,5265399.213837426,-600.8315022154711,-3172.7471521878615,1798.3669884339906
612.0,1865435.8305197358,3179432.594289971,5267193.849056778,-603.78321528784,-3177.1613809380215,1790.9044470554218
613.0,1864830.5735191861,3176253.2279211963,5268981.022731537,-606.7263504872099,-3181.566924734274,1783.4441028260626
614.0,1864222.3778187614,3173069.4604405025,5270760.73726243,-609.6602978360606,-3185.963411348639,1775.9863809617236
615.0,1863611.252923514,3169881.301098499,5272532.99549346,-612.5451251359191,-3190.324370082468,1768.5577277550474
616.0,1862997.2875684896,3166688.8117003376,5274297.85271794,-615.299031014205,-3194.595649480354,1761.2124273478985
617.0,1862380.6548614856,3163492.1097995383,5276055.420348156,-617.9552307791309,-3198.799566413276,1753.9288138058037
618.0,1861761.3771069313,3160291.212567511,5277805.710345551,-620.5883443197235,-3202.985837172251,1746.6577242999338
619.0,1861139.4781728461,3157086.138125194,5279548.735796756,-623.196745898691,-3207.1534749534912,1739.4003301523626
620.0,1860514.983615134,3153876.905617604,5281284.511005856,-625.7786800754257,-3211.301415555645,1732.1578993285075
