t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
1060.0,1481982.9458432216,3023401.125886319,5444615.23366231,-642.9539991219062,-809.939102265751,620.1949674054049
1061.0,1481339.7161466784,3022590.4947518473,5445232.854458942,-643.5105842554476,-811.3299600509927,615.0515085677616
1062.0,1480695.9246747107,3021778.465966217,5445845.336679446,-644.076896616607,-812.7332799658179,609.9189391722903
1063.0,1480051.5623534452,3020965.0281919157,5446452.692337287,-644.6516389779281,-814.1468256902881,604.7995135309175
1064.0,1479406.6213967549,3020150.1723148366,5447054.935706507,-645.2335320458515,-815.5683849514462,599.695500227157
1065.0,1478761.0952893535,3019333.891422013,5447652.083337741,-645.8213124198373,-816.9957660047803,594.6091855769046
1066.0,1478114.9787719152,3018516.180782827,5448244.154077661,-646.4137305800105,-818.4267941748258,589.5428770319559
1067.0,1477468.2678281935,3017697.037833663,5448831.169091805,-647.0095489051891,-819.8593084441964,584.498906517867
1068.0,1476820.9596741048,3016876.4621659387,5449413.151890697,-647.607539718505,-821.291158098029,579.4796337005682
1069.0,1476173.0527487565,3016054.455517467,5449990.128359206,-648.2064833593322,-822.720199422678,574.487449189648
1070.0,1475524.5467073862,3015231.0217670933,5450562.126789076,-648.8051662812941,-824.1442924551666,569.524777663406
1071.0,1474875.442416194,3014406.166932557,5451129.177914533,-649.4023791766958,-825.5612977815326,564.59408090543
1072.0,1474225.7419490328,3013579.8991715303,5451691.314950887,-649.9969151249388,-826.9690733926836,559.6978607587516
1073.0,1473575.448585944,3012752.2287857714,5452248.57363605,-650.5875677637523,-828.3654715926386,554.8386619803496
1074.0,1472924.5668135053,3011923.168228345,5452800.992274848,-651.1731294856872,-829.748335954966,550.0190749764442
1075.0,1472273.1023269726,3011092.7321138615,5453348.611786003,-651.7523896563798,-831.1154983423185,545.2417384185828
1076.0,1471621.0620341925,3010260.9372316604,5453891.475751685,-652.3241328556323,-832.4647759809159,540.509341720026
1077.0,1470968.4540612614,3009427.8025618996,5454429.630469443,-652.8871371417772,-833.7939685962629,535.8246273519471
1078.0,1470315.287759909,3008593.349294468,5454963.125006389,-653.4401723406045,-835.1008556187153,531.190392981749
1079.0,1469661.5737165802,3007757.600850662,5455492.011255407,-653.9819983595517,-836.3831934593618,526.6094934116118
1080.0,1469007.3237631898,3006920.582907549,5456016.343993212,-654.511363526457,-837.638712859014,522.0848422916606
1081.0,1468352.5509895273,3006082.323424944,5456536.18093999,-655.0270029585809,-838.8651163303293,517.6194135835394
1082.0,1467697.2697572727,3005242.8526748884,5457051.582820379,-655.5276369625935,-840.0600756937638,513.2162427366711
1083.0,1467041.495715602,3004402.2032735567,5457562.613425463,-656.0119694658788,-841.2212297106162,508.8784275446087
